Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231124134843,198,441,98,0,0,0,189,503,82,0,0,0
231124134854,198,439,98,0,0,0,189,503,82,0,0,0
231124135024,198,438,98,0,0,0,189,496,82,0,0,0
231124135035,198,438,98,0,0,0,189,495,82,0,0,0
231124135046,198,437,98,0,0,0,189,494,79,0,0,0
231124135057,198,437,98,0,0,0,189,493,79,0,0,0
231124135109,198,437,98,0,0,0,189,493,79,0,0,0
231124135120,198,438,98,0,0,0,189,492,79,0,0,0
231124135131,198,439,98,0,0,0,189,492,79,0,0,0
231124135142,198,444,98,0,0,0,189,492,79,0,0,0
231124135153,198,439,98,0,0,0,189,492,79,0,0,0
231124135205,198,438,98,0,0,0,189,492,79,0,0,0
231124135216,198,438,98,0,0,0,189,492,79,0,0,0
231124135227,198,437,98,0,0,0,189,493,79,0,0,0
231124135238,198,437,98,0,0,0,189,493,79,0,0,0
231124135249,198,440,98,0,0,0,189,493,79,0,0,0
231124135301,198,437,98,0,0,0,189,494,79,0,0,0
231124135312,198,436,98,0,0,0,189,494,79,0,0,0
231124135323,198,436,98,0,0,0,189,496,82,0,0,0
231124135334,198,435,98,0,0,0,189,497,82,0,0,0
231124135346,198,435,98,0,0,0,189,498,82,0,0,0
231124135357,198,435,98,0,0,0,189,499,82,0,0,0
231124135526,198,441,98,0,0,0,189,512,85,0,0,0
231124135538,198,438,98,0,0,0,189,513,85,0,0,0
231124135549,198,441,98,0,0,0,189,514,85,0,0,0
231124135600,198,440,98,0,0,0,189,514,85,0,0,0
231124135611,198,440,98,0,0,0,189,515,88,0,0,0
231124135622,198,440,98,0,0,0,189,515,88,0,0,0
231124135634,198,439,98,0,0,0,189,515,88,0,0,0
231124135645,198,441,98,0,0,0,189,516,88,0,0,0
231124135656,198,442,98,0,0,0,189,516,88,0,0,0
231124135707,198,440,98,0,0,0,189,516,88,0,0,0
231124135719,198,440,98,0,0,0,189,515,88,0,0,0
231124135730,198,439,98,0,0,0,189,515,88,0,0,0
231124135741,198,443,98,0,0,0,190,515,89,0,0,0
231124135752,198,450,102,0,0,0,190,514,86,0,0,0
231124135803,198,447,102,0,0,0,190,513,86,0,0,0
231124135814,198,440,98,0,0,0,190,513,86,0,0,0
231124135826,198,442,98,0,0,0,190,512,86,0,0,0
231124135837,198,439,98,0,0,0,190,512,86,0,0,0
231124135848,198,439,98,0,0,0,190,511,86,0,0,0
231124135859,198,440,98,0,0,0,191,510,87,0,0,0
231124140029,198,445,102,0,0,0,192,504,85,0,0,0
231124140040,198,443,98,0,0,0,192,502,85,0,0,0
231124140051,198,443,98,0,0,0,192,502,85,0,0,0
231124140103,198,443,98,0,0,0,192,500,85,0,0,0
231124140114,198,444,98,0,0,0,192,500,85,0,0,0
231124140125,198,444,98,0,0,0,192,498,85,0,0,0
231124140136,198,443,98,0,0,0,192,498,85,0,0,0
231124140148,198,443,98,0,0,0,192,497,85,0,0,0
231124140159,198,443,98,0,0,0,193,497,86,0,0,0
231124140210,198,442,98,0,0,0,193,496,86,0,0,0
231124140221,198,442,98,0,0,0,193,495,86,0,0,0
231124140232,198,439,98,0,0,0,193,493,83,0,0,0
231124140243,198,442,98,0,0,0,193,493,83,0,0,0
231124140255,198,442,98,0,0,0,193,491,83,0,0,0
231124140306,198,440,98,0,0,0,193,490,83,0,0,0
231124140317,198,440,98,0,0,0,193,489,83,0,0,0
231124140328,198,439,98,0,0,0,193,488,83,0,0,0
231124140339,198,441,98,0,0,0,193,488,83,0,0,0
231124140351,198,439,98,0,0,0,193,488,83,0,0,0
231124140402,198,440,98,0,0,0,193,487,83,0,0,0
231124140520,198,448,102,0,0,0,193,485,83,0,0,0
231124140532,198,441,98,0,0,0,193,485,83,0,0,0
231124140543,198,438,98,0,0,0,193,486,83,0,0,0
231124140554,198,438,98,0,0,0,193,486,83,0,0,0
231124140605,198,443,98,0,0,0,193,486,83,0,0,0
231124140616,198,442,98,0,0,0,193,486,83,0,0,0
231124140628,198,441,98,0,0,0,193,487,83,0,0,0
231124140639,198,440,98,0,0,0,193,487,83,0,0,0
231124140650,198,439,98,0,0,0,193,488,83,0,0,0
231124140701,198,439,98,0,0,0,193,488,83,0,0,0
231124140712,198,441,98,0,0,0,193,488,83,0,0,0
231124140724,198,440,98,0,0,0,193,488,83,0,0,0
231124140735,198,441,98,0,0,0,193,489,83,0,0,0
231124140746,198,439,98,0,0,0,193,489,83,0,0,0
231124140757,198,437,98,0,0,0,193,489,83,0,0,0
231124140808,198,437,98,0,0,0,193,490,83,0,0,0
231124140820,198,437,98,0,0,0,193,490,83,0,0,0
231124140831,198,437,98,0,0,0,193,490,83,0,0,0
231124140842,198,437,98,0,0,0,192,490,82,0,0,0
231124140853,198,437,98,0,0,0,192,490,82,0,0,0
231124141023,198,432,95,0,0,0,191,490,81,0,0,0
231124141034,198,431,95,0,0,0,191,490,81,0,0,0
231124141045,198,433,95,0,0,0,191,490,81,0,0,0
231124141057,198,435,98,0,0,0,190,490,80,0,0,0
231124141108,198,433,95,0,0,0,190,490,80,0,0,0
231124141119,198,433,95,0,0,0,190,490,80,0,0,0
231124141130,198,439,98,0,0,0,190,490,80,0,0,0
231124141141,198,434,98,0,0,0,190,490,80,0,0,0
231124141153,198,434,95,0,0,0,189,490,79,0,0,0
231124141204,198,434,95,0,0,0,189,490,79,0,0,0
231124141215,198,433,95,0,0,0,189,490,79,0,0,0
231124141226,198,434,95,0,0,0,188,490,78,0,0,0
231124141237,198,432,95,0,0,0,188,491,78,0,0,0
231124141249,198,432,95,0,0,0,188,492,78,0,0,0
231124141300,198,435,98,0,0,0,188,492,78,0,0,0
231124141311,198,436,98,0,0,0,188,492,78,0,0,0
231124141322,198,434,95,0,0,0,188,494,78,0,0,0
231124141333,198,434,95,0,0,0,188,494,78,0,0,0
231124141345,198,434,95,0,0,0,188,496,81,0,0,0
231124141356,198,436,98,0,0,0,188,497,81,0,0,0
231124141525,198,441,98,0,0,0,188,515,87,0,0,0
231124141537,198,441,98,0,0,0,188,516,87,0,0,0
231124141548,198,444,98,0,0,0,188,516,87,0,0,0
231124141559,198,443,98,0,0,0,188,516,87,0,0,0
231124141610,198,443,98,0,0,0,188,517,87,0,0,0
231124141621,198,446,102,0,0,0,188,517,87,0,0,0
231124141633,198,449,102,0,0,0,188,517,87,0,0,0
231124141644,198,451,102,0,0,0,188,517,87,0,0,0
231124141655,198,447,102,0,0,0,188,517,87,0,0,0
231124141706,198,446,102,0,0,0,188,517,87,0,0,0
231124141718,198,447,102,0,0,0,188,516,87,0,0,0
231124141729,198,447,102,0,0,0,188,516,87,0,0,0
231124141740,198,447,102,0,0,0,188,516,87,0,0,0
231124141751,198,451,102,0,0,0,188,515,87,0,0,0
231124141802,198,448,102,0,0,0,188,515,87,0,0,0
231124141814,198,448,102,0,0,0,188,515,87,0,0,0
231124141825,198,447,102,0,0,0,188,514,84,0,0,0
231124141836,198,447,102,0,0,0,188,513,84,0,0,0
231124141847,198,451,102,0,0,0,188,513,84,0,0,0
231124141858,198,447,102,0,0,0,188,512,84,0,0,0
231124142028,198,447,102,0,0,0,189,507,85,0,0,0
231124142039,198,448,102,0,0,0,189,506,85,0,0,0
231124142050,198,448,102,0,0,0,189,506,85,0,0,0
231124142102,198,448,102,0,0,0,189,506,85,0,0,0
231124142113,198,450,102,0,0,0,190,506,86,0,0,0
231124142124,198,448,102,0,0,0,190,505,86,0,0,0
231124142135,198,448,102,0,0,0,190,504,83,0,0,0
231124142146,198,444,98,0,0,0,190,503,83,0,0,0
231124142158,198,446,102,0,0,0,190,502,83,0,0,0
231124142209,198,444,98,0,0,0,190,502,83,0,0,0
231124142220,198,444,98,0,0,0,190,501,83,0,0,0
231124142231,198,445,102,0,0,0,191,500,84,0,0,0
231124142242,198,442,98,0,0,0,191,500,84,0,0,0
231124142254,198,444,98,0,0,0,191,499,84,0,0,0
231124142305,198,442,98,0,0,0,191,498,84,0,0,0
231124142316,198,442,98,0,0,0,191,497,84,0,0,0
231124142327,198,442,98,0,0,0,191,495,84,0,0,0
