Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231022184531,59,73,1210,26,32767,32767,32767,32767
231022184542,59,73,1193,26,32767,32767,32767,32767
231022184554,59,73,1202,26,32767,32767,32767,32767
231022184605,59,73,1209,26,32767,32767,32767,32767
231022184616,59,73,1204,26,32767,32767,32767,32767
231022184627,59,73,1206,26,32767,32767,32767,32767
231022184638,59,73,1200,26,32767,32767,32767,32767
231022184650,59,73,1212,26,32767,32767,32767,32767
231022184701,61,73,1228,26,32767,32767,32767,32767
231022184712,63,74,1214,26,32767,32767,32767,32767
231022184723,65,76,1209,26,32767,32767,32767,32767
231022184734,68,78,1208,26,32767,32767,32767,32767
231022184746,70,80,1215,26,32767,32767,32767,32767
231022184915,80,93,1230,26,32767,32767,32767,32767
231022184926,80,94,1231,26,32767,32767,32767,32767
231022184938,81,94,1211,26,32767,32767,32767,32767
231022184949,81,95,1234,26,32767,32767,32767,32767
231022185000,81,95,1232,26,32767,32767,32767,32767
231022185011,81,95,1234,26,32767,32767,32767,32767
231022185023,81,95,1226,26,32767,32767,32767,32767
231022185034,81,95,1235,26,32767,32767,32767,32767
231022185045,81,95,1213,26,32767,32767,32767,32767
231022185056,79,95,1220,26,32767,32767,32767,32767
231022185107,78,93,1220,26,32767,32767,32767,32767
231022185118,77,92,1214,26,32767,32767,32767,32767
231022185130,75,90,1681,35,32767,32767,32767,32767
231022185141,75,89,1657,35,32767,32767,32767,32767
231022185152,75,89,1668,35,32767,32767,32767,32767
231022185203,76,89,1660,35,32767,32767,32767,32767
231022185214,78,89,1665,35,32767,32767,32767,32767
231022185226,78,89,1677,35,32767,32767,32767,32767
231022185237,78,89,1669,35,32767,32767,32767,32767
231022185248,78,89,1654,35,32767,32767,32767,32767
231022185418,72,83,1672,35,32767,32767,32767,32767
231022185429,74,83,1666,35,32767,32767,32767,32767
231022185440,75,84,1660,35,32767,32767,32767,32767
231022185451,75,85,1666,35,32767,32767,32767,32767
231022185503,76,86,1674,35,32767,32767,32767,32767
231022185514,77,87,1664,35,32767,32767,32767,32767
231022185525,77,87,1666,35,32767,32767,32767,32767
231022185536,78,87,1653,35,32767,32767,32767,32767
231022185547,78,88,1657,35,32767,32767,32767,32767
231022185559,78,88,1644,35,32767,32767,32767,32767
231022185610,78,88,1663,35,32767,32767,32767,32767
231022185621,78,88,1660,35,32767,32767,32767,32767
231022185632,78,88,1654,35,32767,32767,32767,32767
231022185643,78,88,1644,35,32767,32767,32767,32767
231022185655,78,88,1651,35,32767,32767,32767,32767
231022185706,78,88,1645,35,32767,32767,32767,32767
231022185717,77,88,1640,35,32767,32767,32767,32767
231022185728,76,87,1638,35,32767,32767,32767,32767
231022185740,75,86,1652,35,32767,32767,32767,32767
231022185751,75,85,1641,35,32767,32767,32767,32767
231022185920,73,84,1624,35,32767,32767,32767,32767
231022185932,73,84,1649,35,32767,32767,32767,32767
231022185943,73,84,1642,35,32767,32767,32767,32767
231022185954,73,84,1619,35,32767,32767,32767,32767
231022190005,73,84,1635,35,32767,32767,32767,32767
231022190016,73,84,1634,35,32767,32767,32767,32767
231022190028,73,84,1628,35,32767,32767,32767,32767
231022190039,73,84,1637,35,32767,32767,32767,32767
231022190050,73,84,1618,35,32767,32767,32767,32767
231022190101,73,84,1637,35,32767,32767,32767,32767
231022190112,73,84,1624,35,32767,32767,32767,32767
231022190124,73,84,1639,35,32767,32767,32767,32767
231022190135,73,84,1644,35,32767,32767,32767,32767
231022190146,73,84,1628,35,32767,32767,32767,32767
231022190157,74,84,1643,35,32767,32767,32767,32767
231022190208,76,84,1614,35,32767,32767,32767,32767
231022190220,78,86,1629,35,32767,32767,32767,32767
231022190231,79,88,1637,35,32767,32767,32767,32767
231022190242,80,89,1635,35,32767,32767,32767,32767
231022190253,81,90,1641,35,32767,32767,32767,32767
231022190412,67,80,1176,26,32767,32767,32767,32767
231022190423,65,79,1187,26,32767,32767,32767,32767
231022190434,64,78,1183,26,32767,32767,32767,32767
231022190445,63,77,1178,26,32767,32767,32767,32767
231022190457,62,76,1174,26,32767,32767,32767,32767
231022190508,61,75,1169,26,32767,32767,32767,32767
231022190519,59,74,1174,26,32767,32767,32767,32767
231022190530,58,73,1175,26,32767,32767,32767,32767
231022190541,58,72,1183,26,32767,32767,32767,32767
231022190553,57,71,1173,26,32767,32767,32767,32767
231022190604,57,71,1177,26,32767,32767,32767,32767
231022190615,57,71,1186,26,32767,32767,32767,32767
231022190626,57,71,1180,26,32767,32767,32767,32767
231022190637,57,71,1191,26,32767,32767,32767,32767
231022190649,57,71,1179,26,32767,32767,32767,32767
