Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231023204145,203,507,98,0,0,0,201,520,99,0,0,0
231023204156,203,506,98,0,0,0,201,521,99,0,0,0
231023204207,203,506,98,0,0,0,201,521,99,0,0,0
231023204218,203,505,98,0,0,0,201,521,99,0,0,0
231023204229,203,503,95,0,0,0,201,521,99,0,0,0
231023204241,203,502,95,0,0,0,201,525,102,0,0,0
231023204252,203,502,95,0,0,0,201,525,102,0,0,0
231023204422,203,500,95,0,0,0,201,520,99,0,0,0
231023204433,203,500,95,0,0,0,201,520,99,0,0,0
231023204444,203,502,95,0,0,0,201,520,99,0,0,0
231023204455,203,503,95,0,0,0,201,521,99,0,0,0
231023204506,203,505,98,0,0,0,201,521,99,0,0,0
231023204518,203,506,98,0,0,0,201,520,99,0,0,0
231023204529,203,507,98,0,0,0,201,520,99,0,0,0
231023204540,203,511,98,0,0,0,201,520,99,0,0,0
231023204551,203,512,98,0,0,0,201,523,99,0,0,0
231023204602,203,514,98,0,0,0,201,527,102,0,0,0
231023204614,203,515,101,0,0,0,201,529,102,0,0,0
231023204625,203,517,101,0,0,0,201,530,102,0,0,0
231023204636,203,518,101,0,0,0,201,529,102,0,0,0
231023204647,203,519,101,0,0,0,201,529,102,0,0,0
231023204658,203,519,101,0,0,0,201,527,102,0,0,0
231023204710,203,521,101,0,0,0,201,528,102,0,0,0
231023204721,203,521,101,0,0,0,201,528,102,0,0,0
231023204732,203,522,101,0,0,0,201,528,102,0,0,0
231023204743,203,522,101,0,0,0,201,528,102,0,0,0
231023204754,203,522,101,0,0,0,201,528,102,0,0,0
231023204924,203,514,98,0,0,0,202,524,100,0,0,0
231023204935,203,513,98,0,0,0,202,525,102,0,0,0
231023204946,203,512,98,0,0,0,202,527,102,0,0,0
231023204958,203,509,98,0,0,0,203,526,103,0,0,0
231023205009,203,508,98,0,0,0,203,523,101,0,0,0
231023205020,203,507,98,0,0,0,203,522,101,0,0,0
231023205031,203,507,98,0,0,0,203,519,101,0,0,0
231023205042,203,505,98,0,0,0,203,518,101,0,0,0
231023205054,203,505,98,0,0,0,203,516,101,0,0,0
231023205105,203,503,95,0,0,0,204,515,102,0,0,0
231023205116,203,502,95,0,0,0,204,512,99,0,0,0
231023205127,203,501,95,0,0,0,204,514,99,0,0,0
231023205139,203,500,95,0,0,0,204,513,99,0,0,0
231023205150,203,500,95,0,0,0,204,512,99,0,0,0
231023205201,203,499,95,0,0,0,204,512,99,0,0,0
231023205212,203,499,95,0,0,0,205,513,100,0,0,0
231023205223,203,499,95,0,0,0,205,511,100,0,0,0
