Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231124175901,64,99,633,34,32767,32767,32767,32767
231124175912,64,99,631,34,32767,32767,32767,32767
231124175923,64,99,633,34,32767,32767,32767,32767
231124175935,63,99,635,34,32767,32767,32767,32767
231124175946,63,99,628,34,32767,32767,32767,32767
231124180115,60,97,659,37,32767,32767,32767,32767
231124180127,60,97,657,37,32767,32767,32767,32767
231124180138,59,96,653,37,32767,32767,32767,32767
231124180149,58,95,659,37,32767,32767,32767,32767
231124180200,58,94,656,37,32767,32767,32767,32767
231124180211,58,94,658,37,32767,32767,32767,32767
231124180223,58,94,654,37,32767,32767,32767,32767
231124180234,58,94,661,37,32767,32767,32767,32767
231124180245,58,94,658,37,32767,32767,32767,32767
231124180256,58,94,657,37,32767,32767,32767,32767
231124180307,58,94,658,37,32767,32767,32767,32767
231124180319,58,94,661,37,32767,32767,32767,32767
231124180330,58,94,665,37,32767,32767,32767,32767
231124180341,58,94,653,37,32767,32767,32767,32767
231124180352,58,94,655,37,32767,32767,32767,32767
231124180404,58,93,655,37,32767,32767,32767,32767
231124180415,58,93,656,37,32767,32767,32767,32767
231124180426,58,92,654,37,32767,32767,32767,32767
231124180437,58,92,656,37,32767,32767,32767,32767
231124180448,58,92,652,37,32767,32767,32767,32767
231124180618,58,93,658,36,32767,32767,32767,32767
231124180629,58,93,652,36,32767,32767,32767,32767
231124180640,58,93,653,36,32767,32767,32767,32767
231124180652,58,92,655,36,32767,32767,32767,32767
231124180703,58,92,655,36,32767,32767,32767,32767
231124180714,58,92,653,36,32767,32767,32767,32767
231124180725,58,92,658,37,32767,32767,32767,32767
231124180736,58,92,659,37,32767,32767,32767,32767
231124180748,58,92,659,37,32767,32767,32767,32767
231124180759,58,92,657,37,32767,32767,32767,32767
231124180810,58,92,662,37,32767,32767,32767,32767
231124180821,58,92,658,37,32767,32767,32767,32767
231124180832,58,92,653,37,32767,32767,32767,32767
231124180844,58,92,653,37,32767,32767,32767,32767
231124180855,58,92,649,37,32767,32767,32767,32767
231124180906,58,92,655,37,32767,32767,32767,32767
231124180917,58,91,656,37,32767,32767,32767,32767
231124180928,58,91,660,37,32767,32767,32767,32767
231124180940,57,91,660,37,32767,32767,32767,32767
231124180951,58,91,662,37,32767,32767,32767,32767
231124181121,86,108,636,34,32767,32767,32767,32767
231124181132,86,111,638,34,32767,32767,32767,32767
231124181143,86,113,633,34,32767,32767,32767,32767
231124181154,84,113,636,34,32767,32767,32767,32767
231124181205,83,114,637,34,32767,32767,32767,32767
231124181217,82,114,633,34,32767,32767,32767,32767
231124181228,81,114,636,34,32767,32767,32767,32767
231124181239,81,114,638,34,32767,32767,32767,32767
231124181250,80,114,636,34,32767,32767,32767,32767
231124181301,80,114,639,35,32767,32767,32767,32767
231124181313,79,114,649,35,32767,32767,32767,32767
231124181324,78,114,657,36,32767,32767,32767,32767
231124181335,77,114,660,36,32767,32767,32767,32767
231124181346,77,114,664,37,32767,32767,32767,32767
231124181357,75,114,657,37,32767,32767,32767,32767
231124181409,74,114,662,37,32767,32767,32767,32767
231124181420,74,113,661,37,32767,32767,32767,32767
231124181431,73,112,660,37,32767,32767,32767,32767
231124181442,72,110,656,37,32767,32767,32767,32767
231124181453,71,108,655,37,32767,32767,32767,32767
231124181612,67,103,659,37,32767,32767,32767,32767
231124181623,66,103,660,37,32767,32767,32767,32767
231124181634,66,103,659,37,32767,32767,32767,32767
231124181646,66,103,660,37,32767,32767,32767,32767
231124181657,66,103,653,37,32767,32767,32767,32767
231124181708,65,102,657,37,32767,32767,32767,32767
231124181719,65,101,661,37,32767,32767,32767,32767
231124181730,64,100,659,37,32767,32767,32767,32767
231124181742,64,99,656,37,32767,32767,32767,32767
231124181753,63,98,654,37,32767,32767,32767,32767
231124181804,62,98,660,37,32767,32767,32767,32767
231124181815,62,98,660,37,32767,32767,32767,32767
231124181826,62,98,655,37,32767,32767,32767,32767
231124181838,62,98,662,37,32767,32767,32767,32767
231124181849,61,98,660,37,32767,32767,32767,32767
231124181900,61,98,660,37,32767,32767,32767,32767
231124181911,61,98,657,37,32767,32767,32767,32767
231124181922,61,98,664,37,32767,32767,32767,32767
231124181934,61,97,658,37,32767,32767,32767,32767
